player,winner,time,species,event,player_0_Ability,player,species,event,player_1_Ability
0,1,7.24,T,592,34,1,T,548,34
0,1,9.59,P,1223,77,1,T,1211,67
0,0,9.59,P,851,69,1,Z,1371,85
0,0,9.59,T,1389,82,1,P,1622,89
0,0,5.39,T,966,57,1,Z,651,36
0,0,9.59,P,775,66,1,P,877,51
0,1,7.07,P,609,39,1,T,1467,55
0,0,7.28,Z,655,53,1,P,1165,64
0,1,9.54,T,487,45,1,Z,523,52
0,1,3.49,P,552,18,1,Z,374,19
0,0,9.58,P,1019,79,1,T,1465,84
0,1,9.58,Z,1135,42,1,T,695,54
0,1,6.41,T,626,37,1,Z,533,39
0,1,10.32,P,1001,49,1,Z,1301,51
0,1,4.27,P,434,18,1,P,815,24
0,0,3.39,T,373,23,1,T,524,20
0,0,9.59,T,1155,42,1,P,1236,64
0,0,4.35,T,1036,32,1,P,410,23
0,1,4.55,Z,477,26,1,Z,393,42
0,1,9.59,T,1526,86,1,Z,1423,78
0,0,10.18,Z,979,61,1,T,1164,94
0,1,10.32,Z,1187,64,1,P,1250,69
0,1,9.59,T,871,73,1,Z,971,68
0,1,7.4,P,1426,43,1,T,1025,60
0,1,6.1,Z,583,40,1,T,638,42
0,0,5.55,T,655,49,1,Z,515,36
0,0,3.11,T,370,11,1,Z,402,14
0,1,3.22,P,409,27,1,P,196,23
0,0,9.59,P,1556,81,1,T,2533,142
0,0,7.08,T,1244,66,1,T,796,73
0,1,4.2,P,511,28,1,Z,540,22
0,0,5.22,T,287,17,1,P,681,24
0,1,2.08,Z,268,10,1,Z,216,6
0,0,3.22,Z,496,14,1,Z,526,15
0,0,9.12,P,921,66,1,Z,1483,79
0,1,9.59,Z,1526,45,1,T,1110,63
0,1,8.31,Z,1050,63,1,T,931,36
0,0,9.24,P,1290,35,1,Z,851,35
0,1,7.37,Z,634,54,1,T,839,59
0,0,4.0,T,656,15,1,T,480,25
0,1,4.05,Z,202,20,1,T,581,23
0,0,5.13,P,220,22,1,T,369,19
0,0,9.58,T,976,52,1,T,649,30
0,0,9.58,P,500,33,1,Z,452,28
0,0,5.44,P,546,22,1,Z,238,22
0,1,5.06,T,696,41,1,Z,793,28
0,1,7.37,Z,822,46,1,Z,955,45
0,1,9.59,Z,1120,74,1,P,1099,83
0,1,5.02,P,581,21,1,T,521,24
0,1,2.5,Z,219,7,1,Z,589,12
0,1,8.25,T,940,93,1,Z,1267,52
0,0,6.59,Z,504,34,1,P,793,36
0,1,6.21,P,475,38,1,P,704,36
0,1,6.5,T,463,50,1,P,609,36
0,1,3.13,T,226,15,1,Z,419,11
0,0,5.38,T,719,30,1,T,881,38
0,1,10.41,Z,869,69,1,P,853,44
0,0,9.59,T,1127,67,1,P,785,46
0,0,8.21,P,689,34,1,P,611,46
0,0,5.15,P,605,28,1,P,772,36
0,0,9.59,P,530,39,1,T,529,38
0,1,5.56,Z,760,30,1,P,697,34
0,0,9.59,P,1158,58,1,Z,1083,40
0,0,9.59,T,1164,76,1,T,774,76
0,1,10.59,T,909,80,1,P,944,53
0,1,2.17,Z,168,7,1,Z,145,5
0,0,7.35,T,1036,39,1,T,566,29
0,1,4.32,Z,807,27,1,P,978,35
0,0,6.05,T,406,28,1,Z,427,24
0,1,9.59,P,1199,36,1,T,1150,55
0,1,7.52,P,888,61,1,Z,834,40
0,1,6.45,T,547,35,1,T,279,36
0,0,9.59,T,830,65,1,P,447,43
0,1,9.42,P,827,55,1,Z,1092,61
0,1,9.59,T,1432,84,1,T,1024,79
0,1,3.24,P,370,16,1,Z,285,11
0,1,4.03,P,548,18,1,T,291,25
0,1,9.59,Z,639,34,1,T,718,45
0,0,7.27,Z,886,53,1,Z,954,56
0,0,5.12,P,459,27,1,P,485,27
0,0,5.51,T,807,29,1,P,447,24
0,1,8.13,Z,1649,74,1,P,1430,102
0,0,3.32,T,207,9,1,P,404,6
0,1,5.18,P,294,24,1,T,256,19
0,0,8.32,T,598,58,1,P,381,21
0,1,10.51,Z,1048,65,1,Z,1422,70
0,0,9.59,T,825,72,1,T,1454,81
0,1,7.52,Z,1411,62,1,T,998,75
0,0,1.02,P,33,3,1,T,46,3
0,0,8.02,P,1216,71,1,P,1422,101
0,1,4.24,P,393,26,1,Z,253,19
0,1,10.28,T,904,66,1,Z,1430,64
0,0,4.0,Z,401,25,1,Z,759,27
0,0,3.32,Z,287,13,1,Z,429,16
0,0,4.19,T,922,33,1,Z,472,25
0,1,6.55,Z,623,33,1,P,1036,44
0,1,8.26,Z,878,67,1,T,1013,88
0,0,9.51,Z,1444,72,1,T,1740,98
0,0,6.56,P,945,47,1,P,1091,44
0,0,4.31,Z,541,22,1,Z,726,37
0,1,8.06,P,566,31,1,P,722,29
0,0,9.59,P,704,37,1,P,435,22
0,0,9.59,P,1551,103,1,Z,1700,98
0,1,9.59,Z,1116,85,1,P,1183,81
0,1,9.59,T,1387,88,1,P,663,69
0,0,6.16,Z,780,34,1,Z,1134,28
0,1,9.59,P,860,61,1,Z,484,55
0,1,3.14,T,290,15,1,P,276,14
0,1,6.44,P,743,47,1,Z,574,50
0,1,4.54,T,439,31,1,P,355,26
0,0,9.34,Z,1043,56,1,T,1044,49
0,0,8.42,Z,1619,53,1,Z,851,71
0,0,9.07,Z,962,62,1,P,1461,80
0,1,6.33,P,546,29,1,T,588,29
0,1,9.59,Z,1467,64,1,P,755,57
0,0,10.29,Z,1185,55,1,T,1270,59
0,0,9.59,T,1805,95,1,T,1930,118
0,1,4.22,P,299,24,1,P,238,17
0,0,2.58,Z,397,12,1,P,349,23
0,1,9.59,P,1147,93,1,T,1754,122
0,0,7.2,P,741,45,1,Z,753,37
0,1,8.22,P,579,55,1,Z,1419,52
0,1,9.59,Z,1010,55,1,P,811,50
0,0,6.59,T,867,47,1,T,1428,66
0,0,9.59,T,883,81,1,Z,1708,67
0,1,9.59,T,1392,91,1,T,891,78
0,1,4.13,Z,246,14,1,T,176,15
0,0,2.49,T,216,18,1,T,323,13
0,1,4.02,P,128,11,1,P,276,11
0,1,10.08,P,1255,52,1,T,1030,75
0,0,8.27,Z,979,53,1,Z,1012,39
0,1,4.4,Z,518,25,1,P,540,25
0,1,4.27,Z,710,22,1,P,791,32
0,0,8.21,Z,1467,66,1,P,1297,78
0,1,9.59,T,1639,88,1,P,957,68
0,1,9.59,T,1106,68,1,P,1340,79
0,0,9.59,T,1182,67,1,T,1315,88
0,0,9.58,P,598,42,1,P,509,38
0,0,5.27,P,435,25,1,P,782,30
0,0,3.45,Z,247,14,1,P,169,17
0,1,7.58,P,336,12,1,T,992,52
0,0,3.2,Z,621,18,1,P,492,17
0,0,3.02,Z,417,7,1,Z,96,9
0,1,1.32,Z,229,9,1,P,141,7
0,1,9.59,Z,785,63,1,P,1127,58
0,0,10.56,Z,1581,76,1,P,1164,46
0,1,8.37,P,505,24,1,P,859,34
0,1,6.56,P,421,39,1,T,1075,71
0,1,6.22,Z,888,54,1,P,1045,66
0,0,4.23,Z,806,21,1,P,589,22
0,1,9.59,P,857,58,1,Z,821,57
0,1,9.57,T,751,41,1,T,730,25
0,0,9.59,P,546,50,1,T,1408,91
0,0,3.48,Z,983,20,1,Z,445,14
0,0,4.06,P,129,22,1,T,468,26
0,1,6.43,T,455,39,1,P,301,22
0,1,9.58,P,850,44,1,Z,1161,59
0,0,5.4,T,1055,61,1,P,1198,33
0,1,4.54,Z,493,33,1,Z,737,22
0,1,4.02,Z,136,9,1,Z,217,15
0,0,9.58,P,754,78,1,T,1156,52
0,1,10.06,P,1854,71,1,P,849,72
0,1,5.23,P,684,27,1,T,633,37
0,1,6.02,T,486,68,1,P,731,48
0,0,3.32,T,612,19,1,T,447,22
0,1,4.36,Z,446,17,1,T,359,26
0,0,5.41,Z,490,32,1,Z,442,31
0,1,9.59,Z,938,46,1,Z,883,57
0,1,6.53,T,1404,54,1,P,1034,53
0,1,9.59,T,1700,120,1,Z,2009,122
0,0,9.57,T,494,49,1,P,1172,55
0,0,3.37,T,215,22,1,T,383,22
0,1,9.59,Z,2376,73,1,T,1513,111
0,0,6.42,T,243,21,1,T,448,11
0,1,3.25,T,484,19,1,T,370,24
0,0,6.35,P,679,29,1,Z,767,31
0,0,9.59,Z,1470,90,1,T,1294,117
0,1,7.01,T,773,49,1,T,537,45
0,1,9.59,T,726,36,1,P,716,38
0,0,7.24,Z,1266,46,1,T,1479,73
0,0,9.58,P,816,56,1,P,844,47
0,0,9.45,Z,836,64,1,T,781,76
0,1,1.56,T,106,7,1,T,208,11
0,0,7.01,P,708,47,1,T,407,44
0,0,7.42,Z,885,62,1,T,1243,79
0,0,5.14,T,767,32,1,P,399,23
0,0,10.44,P,1028,106,1,Z,1181,78
0,0,0.3,Z,70,3,1,Z,30,3
0,0,4.2,T,411,28,1,P,339,15
0,1,3.51,P,330,13,1,T,380,30
0,0,9.09,T,1590,84,1,T,2271,78
0,0,4.46,T,646,60,1,Z,553,30
0,1,9.59,T,1357,92,1,Z,1634,74
0,0,8.41,T,1288,71,1,T,913,53
0,0,9.44,T,769,89,1,P,692,64
0,1,5.23,Z,416,22,1,Z,581,24
0,1,4.42,P,760,24,1,P,752,26
0,0,9.59,Z,1562,90,1,Z,1540,67
0,0,9.58,T,2368,94,1,Z,956,74
0,0,8.39,Z,1751,130,1,P,1305,116
0,1,0.08,P,59,0,1,P,16,1
0,0,8.47,P,1031,32,1,P,444,21
0,1,10.28,T,757,51,1,T,1210,71
0,1,9.59,T,758,64,1,T,2391,89
0,0,5.18,T,531,27,1,P,667,31
0,0,3.42,P,686,24,1,P,373,19
0,1,9.59,T,1007,92,1,T,1338,94
0,0,9.17,T,1718,84,1,T,1001,57
0,1,8.41,Z,962,44,1,P,915,65
0,0,6.31,Z,904,28,1,Z,835,41
0,1,4.43,T,658,32,1,P,574,32
0,0,10.37,T,1036,78,1,T,1423,80
0,1,3.17,Z,375,12,1,Z,785,12
0,0,10.16,Z,1057,61,1,Z,1156,60
