winner,time,player_0_species,player_0_APM,player_0_attack,player_0_Ability,player_0_buildings,player_0_worker,player_0_nonworker,player_1_species,player_1_APM,player_1_attack,player_1_Ability,player_1_buildings,player_1_worker,player_1_nonworker
1,7.4,T,80.0,0,34,14,9,4,T,74.0,3,34,9,6,5
1,9.98,P,123.0,2,77,23,22,7,T,121.0,4,67,17,17,8
0,9.98,P,85.0,11,69,21,19,5,Z,137.0,7,85,15,23,16
0,9.98,T,139.0,8,82,18,7,18,P,163.0,17,89,20,24,5
0,5.65,T,171.0,14,57,9,14,4,Z,115.0,2,36,5,13,7
0,9.98,P,78.0,7,66,20,31,4,P,88.0,1,51,22,15,8
1,7.12,P,86.0,8,39,6,11,5,T,206.0,2,55,14,16,7
0,7.47,Z,88.0,4,53,7,23,7,P,156.0,9,64,15,22,8
1,9.9,T,49.0,0,45,13,5,7,Z,53.0,3,52,10,11,10
1,3.82,P,145.0,0,18,4,8,2,Z,98.0,0,19,2,7,7
0,9.97,P,102.0,15,79,18,27,2,T,147.0,16,84,12,17,9
1,9.97,Z,114.0,5,42,10,16,5,T,70.0,2,54,18,11,9
1,6.68,T,94.0,0,37,14,10,2,Z,80.0,0,39,6,16,12
1,10.53,P,95.0,7,49,13,14,6,Z,124.0,5,51,10,12,13
1,4.45,P,98.0,0,18,7,7,3,P,183.0,1,24,9,8,4
0,3.65,T,102.0,1,23,5,6,1,T,144.0,4,20,7,5,1
0,9.98,T,116.0,2,42,17,9,7,P,124.0,10,64,20,16,6
0,4.58,T,226.0,2,32,7,11,3,P,90.0,3,23,6,8,3
1,4.92,Z,97.0,7,26,6,6,4,Z,80.0,21,42,3,6,9
1,9.98,T,153.0,21,86,17,18,6,Z,143.0,3,78,22,16,13
0,10.3,Z,95.0,10,61,13,13,10,T,113.0,29,94,17,16,19
1,10.53,Z,113.0,3,64,13,15,22,P,119.0,5,69,22,17,7
1,9.98,T,87.0,4,73,18,14,8,Z,97.0,7,68,14,18,12
1,7.67,P,186.0,3,43,13,11,6,T,134.0,3,60,15,18,8
1,6.17,Z,94.0,3,40,4,12,10,T,103.0,2,42,10,12,7
0,5.92,T,111.0,10,49,6,11,3,Z,87.0,2,36,7,10,4
0,3.18,T,116.0,0,11,4,7,0,Z,126.0,0,14,2,5,2
1,3.37,P,121.0,5,27,11,8,0,P,58.0,9,23,5,6,1
0,9.98,P,156.0,15,81,22,21,5,T,254.0,32,142,20,25,24
